added_time,address,area,avenue,crawl_time,fang_subway_ex,floor,house_orientation,housing_units,img_url,info,location,rent,result_kanfang,title
2017.07.14,"
                                    ",138,锦城大厦,1505316944.3980649,距离6号线浦电路站283米,低区/25层,暂无数据,4室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170714/5319996b-7f05-4483-ab7a-e068c475eced.jpg_600x450.jpg,,浦东,14000,4,锦城大厦，实地看房，好房待租，钥匙在店
2017.07.14,"
                                    ",65,虹鹿花苑,1505316944.4072928,距离10号线龙溪路站693米,低区/6层,朝南北,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160424/398dbdbe-c513-4528-88f0-8faf36b526a4.jpg_600x450.jpg,,闵行,6200,4,高清实拍，交通方便，钥匙房，实地看房
2017.07.14,"
                                    ",134,中房樱桃苑,1505316944.4171572,距离11号线三林东站404米,低区/14层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170831/09da7762-124e-4af4-b4c2-94fb44815d0b.jpg_600x450.jpg,,浦东,10000,4,中房樱桃苑，实地看房，改善住房，出行方便
2017.07.14,"
                                    ",97,静安紫苑,1505316944.428509,距离13号线南京西路站926米,低区/29层,暂无数据,1室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20150930/c7054a11-c562-4d3b-9c98-a54fd8327092.jpg_600x450.jpg,,静安,15000,3,静安紫苑，一室小户型，附近有地铁，有钥匙
2017.07.14,"
                                    ",91,翠湖天地御苑,1505316944.624224,距离10号线新天地站273米,低区/31层,朝南,1室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160518/b3d07e84-fd53-4947-a382-4ad8ccb6150c.jpg_600x450.jpg,,黄浦,24000,11,翠湖天地御苑，实地看房，看房有钥匙，温馨一室
2017.07.14,"
                                    ",143,老西门新苑,1505316944.6378508,距离8号线老西门站312米,高区/34层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160528/9aa89cdd-bec8-44fe-bc9b-b3b5cdd80392.jpg_600x450.jpg,,黄浦,18000,9,好房待租，上门实拍，人气房源，视野开阔
2017.07.14,"
                                    ",132,三湘四季花城,1505316944.648653,距离9号线松江大学城站526米,中区/14层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170723/a51b9bd1-e1ac-459e-854a-829e8f7cfe6c.jpg_600x450.jpg,,松江,8000,5,3室2厅，人气房源，有爱有家，钥匙在链家
2017.07.14,"
                                    ",95,上海滩大宁城（公寓）,1505316944.657145,距离1号线中山北路站494米,低区/32层,朝南北,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170714/2a707de5-9090-4bf5-8634-ed2fad3c34b9.jpg_600x450.jpg,,闸北,9000,8,低区出入方便，近地铁，舒适三室，南北通透
2017.07.15,"
                                    ",116,锦绣江南（四期）,1505316944.667169,距离9号线合川路站726米,低区/12层,朝南北,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160525/67137924-8df4-4b5d-90e9-cd1923df4982.jpg_600x450.jpg,,闵行,11000,4,南北通透，出行方便，人气房源，看房有钥匙
2017.07.15,"
                                    ",138,盛世年华,1505316944.679585,距离6号线源深体育中心站661米,低区/18层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170823/c9cf2ee8-07fe-4d47-93b5-e64821c593d1.jpg_600x450.jpg,,浦东,15000,4,盛世年华，看房方便，有爱有家，实地看房
2017.07.09,"
                                    ",46,黄山新村,1505316944.690618,距离6号线云山路站494米,高区/6层,朝南,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160518/13fb062d-375c-4e3b-b18a-d58a8cf378c2.jpg_600x450.jpg,,浦东,3800,0,黄山新村，出行方便，实地看房，采光好
2017.07.09,"
                                    ",70,滨江大楼,1505316944.700663,距离4号线塘桥站833米,中区/24层,朝南,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160926/d2eb3c59-14cc-499a-a49e-81cb7d81c217.jpg_600x450.jpg,,浦东,6000,8,2室2厅，好房好心情，光线充足，交通便利
2017.07.09,"
                                    ",56,钦州路111弄,1505316944.710026,距离1号线漕宝路站765米,中区/7层,暂无数据,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160628/cfb9a6ad-fbc4-4323-bcea-2e6261f7b35a.jpg_600x450.jpg,,徐汇,5500,6,钦州路111弄，有钥匙房源，近地铁，人气房源
2017.07.10,"
                                    ",79,市民新村,1505316944.7197099,距离8号线西藏南路站345米,高区/6层,暂无数据,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170710/5a543826-f5a9-4a67-8e73-098751463018.jpg_600x450.jpg,,黄浦,7500,8,市民新村，近地铁，采光好，钥匙在链家
2017.07.10,"
                                    ",64,泾东小区,1505316944.8033652,距离6号线德平路站695米,高区/25层,朝东,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170329/ed3b55c8-5c8e-4534-8bb2-60270172938e.jpg_600x450.jpg,,浦东,4500,6,光线非常好，出行方便，简约二室，有钥匙
2017.07.10,"
                                    ",143,大唐盛世花园,1505316944.813519,距离16号线龙阳路站490米,中区/17层,暂无数据,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/07/081230100824F780B0EDDF805DD71B19/10101218240467D86591FE4150A0C51C/201307212113514288169.jpg_600x450.jpg,,浦东,16000,10,大唐盛世花园，近地铁，改善住房，有钥匙
2017.07.10,"
                                    ",87,莲浦新苑,1505316944.823052,距离1号线莘庄站642米,高区/6层,朝南北,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170723/033e1d2c-295d-45f9-ba0f-46ea990e796c.jpg_600x450.jpg,,闵行,6500,5,2室2厅1卫，上门实勘，附近有地铁，看房方便
2017.07.11,"
                                    ",173,融创滨江壹号院,1505316944.835694,距离13号线世博会博物馆站297米,低区/23层,朝南,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160702/8ef9a07d-eaf5-4705-9879-74e056f279ee.jpg_600x450.jpg,,黄浦,25000,11,融创滨江壹号院，两室户，人气房源，钥匙在链家
2017.07.20,"
                                    ",71,罗南一村,1505316944.847363,距离7号线罗南新村站697米,高区/6层,暂无数据,3室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170827/229a51a4-7a00-44ee-911d-20ba2d087fcb.jpg_600x450.jpg,,宝山,2800,3,罗南一村，链家房源，链家有钥匙，高区阳光房
2017.07.11,"
                                    ",141,珠江香樟南园,1505316944.8557482,距离12号线隆昌路站630米,中区/17层,朝南北,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170603/aec74c3e-abba-437a-b1f5-9f07510b5f48.jpg_600x450.jpg,,杨浦,10000,6,交通方便，人气房源，有钥匙方便看，放心好房
2017.07.11,"
                                    ",118,亚成公寓,1505316944.86614,距离13号线自然博物馆站616米,低区/25层,朝南北,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170815/e207a96e-0197-4750-b9ff-697749832bcb.jpg_600x450.jpg,,静安,12000,7,适合自住，高清照片，交通便利，一链倾城
